catalog_id,source_rule_id,rule_type,effect,pay_in_pct,applies_on,insurer,category,sub_segment,make,model,match,cc_min,cc_max,policy_type,geo_kind,geo_label,canonical_state,rto_code,age_min,age_max,reason,source_sheet,source_cell,source_text,confidence,review_status,reviewer,reviewed_ts,edited
SBI-TW-0001-COMP,SBI-TW-0001,RATE,RATE,35,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,COMP,STATE_OR_CITY,Kolkata,WEST BENGAL,,,,,"PCV, MISD & TW",AD13,Scooter upto 150 cc (Comp & SAOD),1.0,CONFIRMED,console,2026-06-04T19:57:10,yes
SBI-TW-0001-SAOD,SBI-TW-0001,RATE,RATE,35,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,SAOD,STATE_OR_CITY,Kolkata,WEST BENGAL,,,,,"PCV, MISD & TW",AD13,Scooter upto 150 cc (Comp & SAOD),1.0,CONFIRMED,console,2026-06-04T19:57:11,yes
SBI-TW-0002-COMP,SBI-TW-0002,RATE,RATE,23.5,NET,SBI_GENERAL,TW,BIKE,,,,0,125,COMP,STATE_OR_CITY,Kolkata,WEST BENGAL,,,,,"PCV, MISD & TW",AE13,Bike upto 125 cc,1.0,CONFIRMED,console,2026-06-04T19:57:15,
SBI-TW-0002-SAOD,SBI-TW-0002,RATE,RATE,23.5,NET,SBI_GENERAL,TW,BIKE,,,,0,125,SAOD,STATE_OR_CITY,Kolkata,WEST BENGAL,,,,,"PCV, MISD & TW",AE13,Bike upto 125 cc,1.0,CONFIRMED,console,2026-06-04T19:57:18,
SBI-TW-0003-COMP,SBI-TW-0003,RATE,RATE,35,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,COMP,REGION,Rest of West Bengal,WEST BENGAL,,,,,"PCV, MISD & TW",AD14,Scooter upto 150 cc (Comp & SAOD),1.0,CONFIRMED,console,2026-06-04T19:57:20,yes
SBI-TW-0003-SAOD,SBI-TW-0003,RATE,RATE,35,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,SAOD,REGION,Rest of West Bengal,WEST BENGAL,,,,,"PCV, MISD & TW",AD14,Scooter upto 150 cc (Comp & SAOD),1.0,CONFIRMED,console,2026-06-04T19:57:21,yes
SBI-TW-0004-COMP,SBI-TW-0004,RATE,RATE,23.5,NET,SBI_GENERAL,TW,BIKE,,,,0,125,COMP,REGION,Rest of West Bengal,WEST BENGAL,,,,,"PCV, MISD & TW",AE14,Bike upto 125 cc,1.0,CONFIRMED,console,2026-06-04T19:57:25,
SBI-TW-0004-SAOD,SBI-TW-0004,RATE,RATE,23.5,NET,SBI_GENERAL,TW,BIKE,,,,0,125,SAOD,REGION,Rest of West Bengal,WEST BENGAL,,,,,"PCV, MISD & TW",AE14,Bike upto 125 cc,1.0,CONFIRMED,console,2026-06-04T19:57:26,
SBI-TW-0005-COMP,SBI-TW-0005,RATE,RATE,35,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,COMP,STATE_OR_CITY,BIHAR,BIHAR,,,,,"PCV, MISD & TW",AD15,Scooter upto 150 cc (Comp & SAOD),1.0,CONFIRMED,console,2026-06-04T19:57:27,yes
SBI-TW-0005-SAOD,SBI-TW-0005,RATE,RATE,35,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,SAOD,STATE_OR_CITY,BIHAR,BIHAR,,,,,"PCV, MISD & TW",AD15,Scooter upto 150 cc (Comp & SAOD),1.0,CONFIRMED,console,2026-06-04T19:57:28,yes
SBI-TW-0006-COMP,SBI-TW-0006,RATE,RATE,23.5,NET,SBI_GENERAL,TW,BIKE,,,,0,125,COMP,STATE_OR_CITY,BIHAR,BIHAR,,,,,"PCV, MISD & TW",AE15,Bike upto 125 cc,1.0,CONFIRMED,console,2026-06-04T19:57:30,
SBI-TW-0006-SAOD,SBI-TW-0006,RATE,RATE,23.5,NET,SBI_GENERAL,TW,BIKE,,,,0,125,SAOD,STATE_OR_CITY,BIHAR,BIHAR,,,,,"PCV, MISD & TW",AE15,Bike upto 125 cc,1.0,CONFIRMED,console,2026-06-04T19:57:32,
SBI-TW-0007-COMP,SBI-TW-0007,RATE,RATE,35,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,COMP,STATE_OR_CITY,JHARKHAND,JHARKHAND,,,,,"PCV, MISD & TW",AD16,Scooter upto 150 cc (Comp & SAOD),1.0,CONFIRMED,console,2026-06-04T19:57:33,yes
SBI-TW-0007-SAOD,SBI-TW-0007,RATE,RATE,35,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,SAOD,STATE_OR_CITY,JHARKHAND,JHARKHAND,,,,,"PCV, MISD & TW",AD16,Scooter upto 150 cc (Comp & SAOD),1.0,CONFIRMED,console,2026-06-04T19:57:34,yes
SBI-TW-0008-COMP,SBI-TW-0008,RATE,RATE,23.5,NET,SBI_GENERAL,TW,BIKE,,,,0,125,COMP,STATE_OR_CITY,JHARKHAND,JHARKHAND,,,,,"PCV, MISD & TW",AE16,Bike upto 125 cc,1.0,PENDING,,,
SBI-TW-0008-SAOD,SBI-TW-0008,RATE,RATE,23.5,NET,SBI_GENERAL,TW,BIKE,,,,0,125,SAOD,STATE_OR_CITY,JHARKHAND,JHARKHAND,,,,,"PCV, MISD & TW",AE16,Bike upto 125 cc,1.0,PENDING,,,
SBI-TW-0009-COMP,SBI-TW-0009,RATE,RATE,35.0,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,COMP,STATE_OR_CITY,ODISHA,ORISSA,,,,,"PCV, MISD & TW",AD17,Scooter upto 150 cc (Comp & SAOD),1.0,PENDING,,,
SBI-TW-0009-SAOD,SBI-TW-0009,RATE,RATE,35.0,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,SAOD,STATE_OR_CITY,ODISHA,ORISSA,,,,,"PCV, MISD & TW",AD17,Scooter upto 150 cc (Comp & SAOD),1.0,PENDING,,,
SBI-TW-0010-COMP,SBI-TW-0010,RATE,RATE,23.5,NET,SBI_GENERAL,TW,BIKE,,,,0,125,COMP,STATE_OR_CITY,ODISHA,ORISSA,,,,,"PCV, MISD & TW",AE17,Bike upto 125 cc,1.0,PENDING,,,
SBI-TW-0010-SAOD,SBI-TW-0010,RATE,RATE,23.5,NET,SBI_GENERAL,TW,BIKE,,,,0,125,SAOD,STATE_OR_CITY,ODISHA,ORISSA,,,,,"PCV, MISD & TW",AE17,Bike upto 125 cc,1.0,PENDING,,,
SBI-TW-0011-COMP,SBI-TW-0011,RATE,RATE,35.0,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,COMP,STATE_OR_CITY,DELHI,DELHI,,,,,"PCV, MISD & TW",AD18,Scooter upto 150 cc (Comp & SAOD),1.0,PENDING,,,
SBI-TW-0011-SAOD,SBI-TW-0011,RATE,RATE,35.0,NET,SBI_GENERAL,TW,SCOOTER,,,,0,150,SAOD,STATE_OR_CITY,DELHI,DELHI,,,,,"PCV, MISD & TW",AD18,Scooter upto 150 cc (Comp & SAOD),1.0,PENDING,,,
SBI-TW-0012-COMP,SBI-TW-0012,RATE,RATE,23.5,NET,SBI_GENERAL,TW,BIKE,,,,0,125,COMP,STATE_OR_CITY,DELHI,DELHI,,,,,"PCV, MISD & TW",AE18,Bike upto 125 cc,1.0,PENDING,,,
